filename,erreurL1,erreurL2
df040_1.0_4.0.csv,[[994.08411713]],[[10129.29687856]]
df050_1.0_3.0.csv,[[862.75324432]],[[6586.20377898]]
df060_1.0_2.5.csv,[[745.54885213]],[[5303.26986072]]
df072_0.8_2.5.csv,[[713.56227388]],[[4822.36299057]]
df080_1.0_2.0.csv,[[662.44702361]],[[4365.05056833]]
df128_0.6_2.0.csv,[[570.8804071]],[[3409.64384663]]
df160_0.6_1.5.csv,[[523.25367517]],[[2873.05033064]]
df176_0.45_2.0.csv,[[604.16040298]],[[4051.07221631]]
df220_0.45_1.5.csv,[[537.60253387]],[[3086.23049163]]
df240_0.6_1.0.csv,[[528.30124855]],[[2809.32737738]]
df256_0.3_2.0.csv,[[564.20976646]],[[3289.97300143]]
df266_0.5_1.1.csv,[[451.88135263]],[[2198.61638327]]
